SKU,Nama Barang,BERAT (GR),BERAT (KG),Barcode Number,UPC / Barcode Product,MANUAL DATA VALIDATION,SKU GPU,KATEGORI,raw_name,clean_name,aug_variants,augmented_text,aug_variants_str
100153,Ayam Boneless Dada,1000,1.0,1001530100,1001530100,1001530100 - Ayam Boneless Dada,100153,Discontinue,Ayam Boneless Dada,ss,"['ss ideal untuk steak', 'ss cocok untuk tumis untuk masakan indonesia', 'ss masakan nusantara untuk masakan indonesia', 'ss cocok untuk tumis', 'ss untuk masakan indonesia', 'ss']",ss ideal untuk steak . ss cocok untuk tumis untuk masakan indonesia . ss masakan nusantara untuk masakan indonesia . ss cocok untuk tumis . ss untuk masakan indonesia . ss,ss ideal untuk steak|ss cocok untuk tumis untuk masakan indonesia|ss masakan nusantara untuk masakan indonesia|ss cocok untuk tumis|ss untuk masakan indonesia|ss
100154,Ayam Boneless Paha,1000,1.0,1001540100,1001540100,1001540100 - Ayam Boneless Paha,100154,Discontinue,Ayam Boneless Paha,ss,"['ss cocok untuk tumis untuk masakan indonesia', 'ss cocok untuk panggang', 'ss cocok untuk tumis', 'ss untuk masakan indonesia', 'ss cocok untuk panggang untuk masakan indonesia', 'ss']",ss cocok untuk tumis untuk masakan indonesia . ss cocok untuk panggang . ss cocok untuk tumis . ss untuk masakan indonesia . ss cocok untuk panggang untuk masakan indonesia . ss,ss cocok untuk tumis untuk masakan indonesia|ss cocok untuk panggang|ss cocok untuk tumis|ss untuk masakan indonesia|ss cocok untuk panggang untuk masakan indonesia|ss
101400,Ayam Ceker S-B Non Kuku,1000,1.0,1014000100,1014000100,1014000100 - Ayam Ceker S-B Non Kuku,101400,Discontinue,Ayam Ceker S-B Non Kuku,s u u,"['s u u untuk masakan indonesia', 's u u cocok untuk panggang', 's u u', 's u u menu rumahan', 's u u ideal untuk steak', 's u u cocok untuk tumis untuk masakan indonesia']",s u u untuk masakan indonesia . s u u cocok untuk panggang . s u u . s u u menu rumahan . s u u ideal untuk steak . s u u cocok untuk tumis untuk masakan indonesia,s u u untuk masakan indonesia|s u u cocok untuk panggang|s u u|s u u menu rumahan|s u u ideal untuk steak|s u u cocok untuk tumis untuk masakan indonesia
100235,Ayam Fillet Dada,1000,1.0,1002350100,1002350100,1002350100 - Ayam Fillet Dada,100235,Discontinue,Ayam Fillet Dada,,[''],,
101474,Ayam Karkas,1000,1.0,1014740100,1014740100,1014740100 - Ayam Karkas,101474,Discontinue,Ayam Karkas,s,"['s ideal untuk steak', 's cocok untuk tumis', 's masakan nusantara', 's masakan nusantara untuk masakan indonesia', 's cocok untuk grill untuk masakan indonesia', 's']",s ideal untuk steak . s cocok untuk tumis . s masakan nusantara . s masakan nusantara untuk masakan indonesia . s cocok untuk grill untuk masakan indonesia . s,s ideal untuk steak|s cocok untuk tumis|s masakan nusantara|s masakan nusantara untuk masakan indonesia|s cocok untuk grill untuk masakan indonesia|s
101412,"Ayam Karkas 0,6 - 0,7 kg",1000,1.0,1014120100,1014120100,"1014120100 - Ayam Karkas 0,6 - 0,7 kg",101412,Discontinue,"Ayam Karkas 0,6 - 0,7 kg",s,"['s cocok untuk tumis', 's masakan nusantara', 's cocok untuk panggang', 's untuk masakan indonesia', 's menu rumahan', 's']",s cocok untuk tumis . s masakan nusantara . s cocok untuk panggang . s untuk masakan indonesia . s menu rumahan . s,s cocok untuk tumis|s masakan nusantara|s cocok untuk panggang|s untuk masakan indonesia|s menu rumahan|s
100829,"Ayam Karkas 0,8 - 0,9 kg",1000,1.0,1008290100,1008290100,"1008290100 - Ayam Karkas 0,8 - 0,9 kg",100829,Discontinue,"Ayam Karkas 0,8 - 0,9 kg",s,"['s cocok untuk grill', 's ideal untuk steak', 's masakan nusantara', 's untuk masakan indonesia', 's menu rumahan', 's']",s cocok untuk grill . s ideal untuk steak . s masakan nusantara . s untuk masakan indonesia . s menu rumahan . s,s cocok untuk grill|s ideal untuk steak|s masakan nusantara|s untuk masakan indonesia|s menu rumahan|s
100018,"Ayam Karkas 0,9 - 1,0 kg",1000,1.0,1000180100,1000180100,"1000180100 - Ayam Karkas 0,9 - 1,0 kg",100018,Discontinue,"Ayam Karkas 0,9 - 1,0 kg",s,"['s cocok untuk grill', 's cocok untuk tumis untuk masakan indonesia', 's cocok untuk panggang', 's untuk masakan indonesia', 's', 's masakan nusantara']",s cocok untuk grill . s cocok untuk tumis untuk masakan indonesia . s cocok untuk panggang . s untuk masakan indonesia . s . s masakan nusantara,s cocok untuk grill|s cocok untuk tumis untuk masakan indonesia|s cocok untuk panggang|s untuk masakan indonesia|s|s masakan nusantara
101196,"Ayam Karkas 1,1 kg",1000,1.0,1011960100,1011960100,"1011960100 - Ayam Karkas 1,1 kg",101196,Discontinue,"Ayam Karkas 1,1 kg",s,"['s menu rumahan untuk masakan indonesia', 's cocok untuk grill', 's masakan nusantara untuk masakan indonesia', 's cocok untuk grill untuk masakan indonesia', 's untuk masakan indonesia', 's']",s menu rumahan untuk masakan indonesia . s cocok untuk grill . s masakan nusantara untuk masakan indonesia . s cocok untuk grill untuk masakan indonesia . s untuk masakan indonesia . s,s menu rumahan untuk masakan indonesia|s cocok untuk grill|s masakan nusantara untuk masakan indonesia|s cocok untuk grill untuk masakan indonesia|s untuk masakan indonesia|s
101493,"Ayam Karkas 1,3 - 1,4 kg",1000,1.0,1014930100,1014930100,"1014930100 - Ayam Karkas 1,3 - 1,4 kg",101493,Discontinue,"Ayam Karkas 1,3 - 1,4 kg",s,"['s menu rumahan untuk masakan indonesia', 's ideal untuk steak', 's untuk masakan indonesia', 's', 's cocok untuk panggang untuk masakan indonesia', 's masakan nusantara']",s menu rumahan untuk masakan indonesia . s ideal untuk steak . s untuk masakan indonesia . s . s cocok untuk panggang untuk masakan indonesia . s masakan nusantara,s menu rumahan untuk masakan indonesia|s ideal untuk steak|s untuk masakan indonesia|s|s cocok untuk panggang untuk masakan indonesia|s masakan nusantara
