SKU,Nama Barang,SKU GPU
100153,Ayam Boneless Dada,100153
100154,Ayam Boneless Paha,100154
101400,Ayam Ceker S-B Non Kuku,101400
100235,Ayam Fillet Dada,100235
101474,Ayam Karkas,101474
101412,"Ayam Karkas 0,6 - 0,7 kg",101412
100829,"Ayam Karkas 0,8 - 0,9 kg",100829
100018,"Ayam Karkas 0,9 - 1,0 kg",100018
101196,"Ayam Karkas 1,1 kg",101196
101493,"Ayam Karkas 1,3 - 1,4 kg",101493
101032,Ayam Kulit Body,101032
103012,Ayam Parting Dada,103012
103014,Ayam Parting Paha Atas,103014
103010,Ayam Parting Paha Bawah,103010
103011,Ayam Parting Sayap,103011
101404,Bawang Bombay,101404
101210,Bebek Peking 0.9 - 1.0 kg,101210
101097,Broccoli Floret Heibei 1kg,101097
101167,Cumi Ring,101167
101179,Cumi Tube,101179
101214,French Fries Marquise Straight Cut 1 kg,101214
111111,Hampers Lebaran BBQ & grill,111111
222222,Hampers Lebaran Siap Saji,222222
333333,Hampers Lebaran Sultan,333333
444444,Hampers Lebaran Tradisional,444444
100601,Ice Pack,100601
101255,Ikan Cakalang,101255
101405,Ikan Gurame,101405
101256,Ikan Kembung Banjar,101256
101257,Ikan Tenggiri Steak,101257
100812,Karton Besar (53x38),100812
100813,Karton Kecil (34x27),100813
100814,Karton Sedang (38x36),100814
100890,Karton Tokopedia Kecil,100890
101392,McCain Onion Rings 12x907 gr,101392
101262,McCain Redstone Canyon Skin-On Regular Fries 6x2.30 kg,101262
101263,McCain Redstone Canyon Skin-On Waffle Fries 6x2.0 kg,101263
101348,McCain Redstone Canyon Skin-On Wedges 6x2.27 kg,101348
101407,McCain Shoestring Fries 5 X 3kg,101407
101322,McCain Tator Tots 6x2.27 kg,101322
101320,"McCain Triangle Hash Brown Patties 6x2,27 kg",101320
101420,Mixed Paprika Slice 1kg,101420
101030,Mixed Vegetables 4 Ways Heibei 1kg,101030
101952,Paket BBQ NYE Personal,101952
101047,Paket BBQ NYE Hemat Large,101047
101048,Paket BBQ NYE Hemat Extra Large,101048
101049,Paket BBQ NYE Premium Large,101049
101050,Paket BBQ NYE Premium Extra Large,101050
101501,Bundling Paket Bucin 2,101501
101484,Paket Go Cedea 1,101484
101485,Paket Go Cedea 2,101485
101487,Paket Go Kanzler 1,101487
101488,Paket Go Kanzler 2,101488
101486,Paket Go Sumber Selera,101486
444444,Paket Lebaran BBQ & grill,444444
333333,Paket Lebaran Siap Saji,333333
222222,Paket Lebaran Sultan,222222
111111,Paket Lebaran Tradisional,111111
101051,Paket Seafood Reguler Large,101051
100688,Pickup In-Store,100688
100967,Reusable Bag Hijrahfood [Polos],100967
100966,Reusable Bag Hijrahfood [Logo],100966
100956,Reusable Bag Medium,100956
102367,RTL Angus Tomahawk 0.6 Kg,102367
102368,RTL Angus Tomahawk 0.7 Kg,102368
102369,RTL Angus Tomahawk 0.8 Kg,102369
101087,RTL Angus Tomahawk 0.9 kg,101087
101054,RTL Angus Tomahawk 1 kg,101054
101055,RTL Angus Tomahawk 1.1 kg,101055
101056,RTL Angus Tomahawk 1.2 kg,101056
101057,RTL Angus Tomahawk 1.3 kg,101057
101058,RTL Angus Tomahawk 1.4 kg,101058
101059,RTL Angus Tomahawk 1.5 kg,101059
101060,RTL Angus Tomahawk 1.6 kg,101060
101085,RTL Angus Tomahawk 1.7 kg,101085
101317,RTL Angus Tomahawk 1.8 kg,101317
101086,RTL Angus Tomahawk 1.9 kg,101086
101109,RTL Angus Tomahawk 2 kg,101109
101110,RTL Angus Tomahawk 2.2 kg,101110
101430,"RTL Angus Tomahawk Da21 1,1 kg",101430
101434,"RTL Angus Tomahawk Da21 1,5 kg",101434
101393,RTL Ayam Ceker S-B Non Kuku 1000 gr,101393
101205,RTL Ayam Ceker S-B Non Kuku 500 gr,101205
101409,RTL Ayam Karkas 0.6 - 0.7 kg,101409
100831,RTL Ayam Karkas 0.8 - 0.9 kg,100831
100830,RTL Ayam Karkas 1 kg,100830
101475,RTL Ayam Karkas 1.3 - 1.4 Kg,101475
101195,RTL Ayam Karkas 1.0 - 1.1 kg,101195
100595,RTL Bawang Bombay 1000 gr,100595
101068,RTL Bebek Hibrida Utuh 0.9 kg,101068
101069,RTL Bebek Hibrida Utuh 1.3 kg,101069
101208,RTL Bebek Peking Utuh 0.9 - 1.0 kg,101208
101128,RTL Beef Patty 300gr,101128
101251,RTL Beef Strips Stir Fry / Daging Oseng 300 gr,101251
100844,RTL Boneless Dada Ayam 1000 gr,100844
100671,RTL Boneless Dada Ayam 2000 gr,100671
100672,RTL Boneless Dada Ayam 2200 gr,100672
100748,RTL Boneless Dada Ayam 2500 gr,100748
100737,RTL Boneless Paha Ayam 1000 gr,100737
100673,RTL Boneless Paha Ayam 2000 gr,100673
100674,RTL Boneless Paha Ayam 2200 gr,100674
100712,RTL Boneless Paha Ayam 2500 gr,100712
100929,RTL Brisket Bone 1 kg,100929
100944,RTL Brisket Bone 500 gr,100944
101098,RTL Broccoli Floret 500 gr,101098
101416,RTL Chuck Short Rib Galbi 250 gr,101416
101217,RTL Chuck Short Rib Galbi 500 gr,101217
101258,RTL Cumi Flower 1 kg,101258
101259,RTL Cumi Flower 500 gr,101259
100741,RTL Cumi Ring 1000gr,100741
100747,RTL Cumi Ring 500gr,100747
100740,RTL Cumi Tube 1000 gr,100740
101233,RTL CST Oxtail Lokal Premium PF 500 gr,101233
100572,RTL Daging Ayam Giling 500 gr,100572
100968,RTL Daging Brisket Sandung Lamur 1 kg,100968
101020,RTL Daging Brisket Sandung Lamur 500 gr,101020
101341,RTL Daging Giling Value Choice 1000 gr,101341
100201,RTL Daging Giling Reguler 1000 gr,100201
100202,RTL Daging Giling Reguler 500 gr,100202
100203,RTL Daging Giling Spesial 1000 gr,100203
100204,RTL Daging Giling Spesial 500 gr,100204
101516,RTL Daging Giling Spesial Grass-Fed 500 gr,101516
101514,RTL Daging Has Domba Bertulang Aus 500 gr,101514
100208,RTL CST Saikoro Meltique Astro 500 gr,100208
101180,RTL Daging Has Paha Sapi 700 gr,101180
101490,RTL Daging Has Paha Sapi Premium 1000 gr,101490
101491,RTL Daging Has Paha Sapi Premium 500 gr,101491
100486,RTL Daging Has Paha Sapi Premium Lean 1000 gr,100486
100903,RTL Daging Has Paha Sapi Premium Lean 500 gr,100903
101512,RTL Daging Iga Domba Aus 500 gr,101512
101193,RTL Daging Iga Kambing 1000 gr,101193
101170,RTL Daging Kerbau CM-01 1000 gr,101170
100678,RTL Daging Kerbau FQ Slice 900 gr,100678
100225,RTL CST Hati Sapi PF 500 gr,100225
101511,RTL Daging Paha Domba Aus 500 gr,101511
101515,RTL Daging Sapi Muda 1000 gr,101515
100843,RTL Daging Semur 1000gr,100843
100904,RTL Daging Semur 500 gr,100904
101513,RTL Daging Shank Domba Aus 500 gr,101513
100417,RTL Daging Shank Sapi 1000 gr,100417
100418,RTL Daging Shank Sapi 500 gr,100418
100544,RTL Daging Sop 1000 gr,100544
101274,RTL Daging Sop Potong 300 gr,101274
101250,RTL Daging Sop Potong 500 gr,101250
101351,RTL Daging Sop Potong Gulai 300 gr,101351
100733,RTL Daging Tenderloin AUS 200 gr,100733
100220,RTL Daging Tulang Sop 1000 gr,100220
100920,RTL Daging Tulang Sop 500 gr,100920
100657,RTL Fat Sapi 1000 gr,100657
100919,RTL Fat Sapi 500 gr,100919
100876,RTL Fat Trim 250 gr,100876
100247,RTL Hati Sapi 1000 gr,100247
100905,RTL Hati Sapi 500 gr,100905
101245,RTL Ikan Cakalang 900 - 1000 gr,101245
101231,RTL Ikan Dory Fillet 250 gr,101231
101395,RTL Ikan Dory Fillet Premium 1000gr,101395
101396,RTL Ikan Dory Fillet Premium Nbl 1000gr,101396
100290,RTL Ikan Dory Fillet Reguler 1000 gr,100290
100739,RTL Ikan Dory Fillet Reguler Nbl 1000 gr,100739
101232,RTL CST Neck Bone Astro 500 gr,101232
100756,RTL Ikan Gindara Fillet 500gr,100756
101389,RTL Ikan Gurame 400 - 500 gr,101389
101243,RTL Ikan Kembung Banjar 450 - 500 gr,101243
101203,RTL Ikan Salmon Fillet 150gr,101203
100742,RTL Ikan Salmon Fillet 200gr,100742
100743,RTL Ikan Salmon Fillet 250gr,100743
100744,RTL Ikan Salmon Fillet 300gr,100744
101244,RTL Ikan Tenggiri Steak 450 - 500 gr,101244
101253,RTL Ikan Tongkol Deho 450 - 500 gr,101253
100757,RTL Ikan Tuna Fillet 500gr,100757
100542,RTL Jantung Sapi 1000 gr,100542
101242,RTL Karubi US DA14 250 gram,101242
100755,RTL Karubi Wagyu MB 8-9 500 gr,100755
100313,RTL Kikil Bone In 500gr,100313
100798,RTL Konro Besar 1000 gr,100798
101272,RTL Konro Besar 500 gr,101272
100799,RTL Konro Kecil 1000 gr,100799
101273,RTL Konro Kecil 500 gr,101273
101489,RTL Kulit Body Ayam 1000 gr,101489
101034,RTL Kulit Body Ayam 500 gr,101034
101356,RTL Leg Bone 1000 gr,101356
100875,RTL Lidah Bistik 250gr,100875
101223,RTL Lidah Slice 250 gr,101223
100597,RTL Lidah Slice 500 gr,100597
101171,RTL Lidah Utuh 500 gr,101171
100642,RTL Lips Sapi 1000 gr,100642
100722,RTL Meltique Mess 1000 gr,100722
100846,RTL Meltique Steak Mix Cut 1000 gr,100846
101419,RTL Mixed Paprika Slice 500 gr,101419
101031,RTL Mixed Vegetables 4 Ways 500 gr,101031
100993,RTL Natchick Ayam Kampung Utuh 700 gr,100993
100992,RTL Natchick Ayam Kampung Utuh 900 gr,100992
100988,RTL Natchick Telur Ayam Kampung 6pcs,100988
100543,RTL Neck Bone 1000 gr,100543
100902,RTL Neck Bone 500 gr,100902
100895,RTL Oxtail AUS End Cut 500gr,100895
100894,RTL Oxtail AUS Mix Cut 500gr,100894
100385,RTL Oxtail Lokal 1000 gr,100385
101042,RTL Parting Dada Ayam 1kg,101042
101043,RTL Parting Paha Atas Ayam 1kg,101043
101044,RTL Parting Paha Bawah Ayam 1kg,101044
101045,RTL Parting Sayap Ayam 1kg,101045
100396,RTL Paru Sapi 1000 gr,100396
100397,RTL Paru Sapi 500 gr,100397
101465,RTL Picanha Steak AUS grade S 130 gr,101465
101466,RTL Picanha Steak AUS grade S 150 gr,101466
101462,RTL Picanha Steak AUS grade S 180 gr,101462
101463,RTL Picanha Steak AUS grade S 200 gr,101463
101464,RTL Picanha Steak AUS grade S 230 gr,101464
101467,RTL Picanha Steak AUS grade S End Cut 150 gr,101467
101468,RTL Picanha Steak AUS grade S End Cut 180 gr,101468
101469,RTL Picanha Steak AUS grade S End Cut 200 gr,101469
101460,RTL Picanha Steak Wagyu Mb 5 Aus 100 gr,101460
101461,RTL Picanha Steak Wagyu Mb 5 Aus 120 gr,101461
101458,RTL Picanha Steak Wagyu Mb 5 Aus 150 gr,101458
101455,RTL Picanha Steak Wagyu Mb 5 Aus 180 gr,101455
101456,RTL Picanha Steak Wagyu Mb 5 Aus 200 gr,101456
101457,RTL Picanha Steak Wagyu Mb 5 Aus 230 gr,101457
101459,RTL Picanha Steak Wagyu Mb 5 Aus 80 gr,101459
101260,RTL Daging Rendang Potong 1 kg,101260
101413,RTL Daging Rendang Potong 250 gr,101413
101261,RTL Daging Rendang Potong 500 gr,101261
101237,RTL Ribeye Aus Steak Da14 150 gr,101237
101238,RTL Ribeye Aus Steak Da14 170 gr,101238
101340,RTL Ribeye Aus Steak Da14 200 gr,101340
101239,RTL Ribeye Aus Steak Da14 250 gr,101239
100554,RTL Ribeye Meltique Steak 1000 gr,100554
100552,RTL Ribeye Meltique Steak 200 gr,100552
100553,RTL Ribeye Meltique Steak 400 gr,100553
101415,RTL Ribeye Prime Aus Steak 180 gr,101415
101061,RTL Ribeye Prime Aus Steak 200 gr,101061
101063,RTL Ribeye Prime Aus Steak 250 gr,101063
101207,RTL Ribeye Prime Aus Steak 350 gr,101207
101062,RTL Ribeye Prime Aus Steak 400 gr,101062
101421,RTL Ribeye Prime Aus Steak Da14 180 gr,101421
101240,RTL Ribeye Prime Aus Steak Da14 200 gr,101240
101241,RTL Ribeye Prime Aus Steak Da14 250 gr,101241
101270,RTL Ribeye Prime Aus Steak End Cut 200 gr,101270
101271,RTL Ribeye Prime Aus Steak End Cut 250 gr,101271
101344,RTL Ribeye Steak AUS 180 gr,101344
100983,RTL Ribeye Steak AUS 200 gr,100983
101345,RTL Ribeye Steak AUS 230 gr,101345
101361,RTL Ribeye Steak AUS 250 gr,101361
100982,RTL Ribeye Steak AUS 400 gr,100982
100015,RTL CST Daging Semur Potong OSV 250 gr,100015
101358,RTL Ribeye Steak AUS End Cut 160 gr,101358
101359,RTL Ribeye Steak AUS End Cut 180 gr,101359
101360,RTL Ribeye Steak AUS End Cut 200 gr,101360
101362,RTL Ribeye Steak AUS End Cut 250 gr,101362
101228,RTL Ribeye US Choice Steak 200 gr,101228
100728,RTL Ribeye US Choice Steak 230 gr,100728
100729,RTL Ribeye US Choice Steak 250 gr,100729
100730,RTL Ribeye US Choice Steak 270 gr,100730
100731,RTL Ribeye US Choice Steak 290 gr,100731
101442,RTL Ribeye US Choice Steak DA21 180 gr,101442
101425,RTL Ribeye US Choice Steak DA21 200 gr,101425
101426,RTL Ribeye US Choice Steak DA21 230 gr,101426
101423,RTL Ribeye US Choice Steak DA21 250 gr,101423
101424,RTL Ribeye US Choice Steak DA21 270 gr,101424
101427,RTL Ribeye US Choice Steak DA21 290 gr,101427
100732,RTL Ribeye US Choice Steak End Cut 100 gr,100732
100752,RTL Ribeye US Choice Steak End Cut 150 gr,100752
101449,RTL Ribeye US Choice Steak End Cut 180 gr,101449
100735,RTL Ribeye US Choice Steak End Cut 200 gr,100735
101249,RTL Ribeye US Choice Steak End Cut 230 gr,101249
101226,RTL Ribeye US Choice Steak End Cut 250 gr,101226
101227,RTL Ribeye US Choice Steak End Cut 270 gr,101227
101248,RTL Ribeye US Choice Steak End Cut 290 gr,101248
101444,RTL Ribeye US Choice Steak End Cut Da21 150 gr,101444
101443,RTL Ribeye US Choice Steak End Cut Da21 270 gr,101443
101013,RTL Ribeye US Prime Steak 200 gr,101013
101014,RTL Ribeye US Prime Steak 230 gr,101014
101015,RTL Ribeye US Prime Steak 250 gr,101015
101016,RTL Ribeye US Prime Steak 280 gr,101016
101017,RTL Ribeye US Prime Steak 300 gr,101017
101018,RTL Ribeye US Prime Steak 340 gr,101018
101019,RTL CST Daging Rendang Potong OSV 250 gr,101019
100652,RTL Ribeye Wagyu Mb6+ 200gr,100652
100653,RTL Ribeye Wagyu Mb6+ 230gr,100653
100654,RTL Ribeye Wagyu Mb6+ 250gr,100654
100655,RTL Ribeye Wagyu Mb6+ 270gr,100655
100656,RTL Ribeye Wagyu Mb6+ 290gr,100656
100551,RTL Saikoro Meltique Beef 1000 gr,100551
100549,RTL Saikoro Meltique Beef 250 gr,100549
100550,RTL Saikoro Meltique Beef 500 gr,100550
101108,RTL Saikoro Wagyu A5 200gr,101108
101386,RTL Seafood Lovers Udang Kupas Premium 400 gr,101386
101129,RTL Topside Steak Wagyu MB 8-9 150 gr,101129
101130,RTL Topside Steak Wagyu MB 8-9 180 gr,101130
101126,RTL Topside Steak Wagyu MB 8-9 200 gr,101126
101131,RTL Topside Steak Wagyu MB 8-9 230 gr,101131
101132,RTL Topside Steak Wagyu MB 8-9 250 gr,101132
102219,RTL Topside Steak Wagyu MB 6-7 150 gr,102219
102220,RTL Topside Steak Wagyu MB 6-7 180 gr,102220
101134,RTL Topside Steak Wagyu MB 6-7 200 gr,101134
101338,[FREE GOODS] RTLP Mamasuka Rumput Laut Panggang Ghost Pepper Bundle 2x4.5 gr,101338
101339,[FREE GOODS] RTLP Mamasuka Rumput Laut Panggang Jagung Bakar Bundle 2x4.5 gr,101339
100658,RTL Serbuk Dmm 1000 gr,100658
101352,RTL Shitake Mushroom Slice 500gr,101352
100212,RTL Short Rib Besar 1000 gr,100212
100841,RTL Short Rib Besar 500 gr,100841
101509,RTL Short Rib Galbi Us Choice 250 gr,101509
100719,RTL Short Rib Galbi Us Choice 500 gr,100719
100708,RTL Short Rib Kecil 1000 gr,100708
100842,RTL Short Rib Kecil 500 gr,100842
101234,RTL Sirloin AUS Steak DA14 170 gr,101234
101235,RTL Sirloin AUS Steak DA14 200 gr,101235
101236,RTL Sirloin AUS Steak DA14 250 gr,101236
101254,RTL Sirloin AUS Steak DA14 300 gr,101254
100605,RTL Sirloin Hokubee 1000 gr,100605
100753,RTL Sirloin Hokubee 200 gr,100753
100602,RTL Sirloin Hokubee 400 gr,100602
100557,RTL Sirloin Meltique Steak 1000 gr,100557
100555,RTL Sirloin Meltique Steak 200 gr,100555
100556,RTL Sirloin Meltique Steak 400 gr,100556
100419,RTL Sirloin Regular 500 gr,100419
101507,RTL Sirloin Steak AUS 150 gr,101507
101342,RTL Sirloin Steak AUS 180 gr,101342
100985,RTL Sirloin Steak AUS 200 gr,100985
101343,RTL Sirloin Steak AUS 230 gr,101343
101093,RTL Sirloin Steak AUS 250 gr,101093
100984,RTL Sirloin Steak AUS 400 gr,100984
100016,RTL Sirloin Steak AUS 500 gr,100016
101372,RTL Sirloin Steak AUS End Cut 160 gr,101372
101373,RTL Sirloin Steak AUS End Cut 180 gr,101373
101374,RTL Sirloin Steak AUS End Cut 200 gr,101374
101397,RTL Sirloin Steak AUS End Cut 250 gr,101397
101078,RTL Sirloin US Choice Steak 200 gr,101078
100998,RTL Sirloin US Choice Steak 220 gr,100998
100999,RTL Sirloin US Choice Steak 250 gr,100999
101000,RTL Sirloin US Choice Steak 280 gr,101000
101001,RTL Sirloin US Choice Steak 310 gr,101001
101229,RTL Sirloin US Choice Steak End Cut 170 gr,101229
101246,RTL Sirloin US Choice Steak End Cut 200 gr,101246
101230,RTL Sirloin US Choice Steak End Cut 250 gr,101230
101247,RTL Sirloin US Choice Steak End Cut 280 gr,101247
100823,RTL Suki Rib Cap 500gr,100823
100896,RTL Slice AUS Shortplate 250 gr,100896
